Date,Open,High,Low,Close,Volume
08/26/2024,"226.76","227.28","223.89","227.18","30,602,211"
08/23/2024,"225.66","228.22","224.33","226.84","38,677,246"
08/22/2024,"227.79","228.34","223.90","224.53","43,695,320"
08/21/2024,"226.52","227.98","225.05","226.40","34,765,480"
08/20/2024,"225.77","227.17","225.45","226.51","30,299,029"
08/19/2024,"225.72","225.99","223.04","225.89","40,687,809"
08/16/2024,"223.92","226.83","223.65","226.05","44,340,238"
08/15/2024,"224.60","225.35","222.76","224.72","46,414,008"
08/14/2024,"220.57","223.03","219.70","221.72","41,960,566"
08/13/2024,"219.01","221.89","219.01","221.27","44,155,328"
08/12/2024,"216.07","219.51","215.60","217.53","38,028,090"
08/09/2024,"212.10","216.78","211.97","216.24","42,201,648"
08/08/2024,"213.11","214.20","208.83","213.31","47,161,152"
08/07/2024,"206.90","213.64","206.39","209.82","63,516,422"
08/06/2024,"205.30","209.99","201.07","207.23","69,660,484"
08/05/2024,"199.09","213.50","196.00","209.27","119,548,602"
08/02/2024,"219.15","225.60","217.71","219.86","105,568,602"
08/01/2024,"224.37","224.48","217.02","218.36","62,501,000"
07/31/2024,"221.44","223.82","220.63","222.08","50,036,262"
07/30/2024,"219.19","220.33","216.12","218.80","41,643,840"
07/29/2024,"216.96","219.30","215.75","218.24","36,311,781"
