Date,Open,High,Low,Close,Volume
08/14/2024,"124.97","127.04","124.63","126.17","3,252,959"
08/13/2024,"123.43","125.40","122.74","125.35","3,056,591"
08/12/2024,"124.00","124.09","122.54","123.36","2,585,947"
08/09/2024,"124.64","124.64","123.34","124.17","3,247,914"
08/08/2024,"122.45","125.74","122.18","125.13","2,932,882"
08/07/2024,"125.39","126.57","122.69","122.83","3,410,105"
08/06/2024,"123.36","126.13","122.72","124.89","4,334,268"
08/05/2024,"119.57","125.32","119.31","124.61","6,669,666"
08/02/2024,"125.81","127.75","124.78","125.24","4,021,383"
08/01/2024,"127.50","127.94","124.43","126.47","5,563,739"
07/31/2024,"126.63","128.60","125.33","127.55","6,889,922"
07/30/2024,"125.85","127.69","124.11","126.75","6,746,475"
07/29/2024,"128.00","128.65","124.13","125.16","10,816,740"
07/26/2024,"112.69","128.03","112.69","127.16","32,748,920"
07/25/2024,"102.72","104.79","101.77","103.39","4,598,084"
07/24/2024,"104.56","105.10","103.08","103.25","3,252,198"
07/23/2024,"105.00","105.27","104.17","104.73","2,172,621"
07/22/2024,"104.06","105.04","102.40","104.97","2,686,587"
07/19/2024,"104.75","104.75","103.13","103.92","2,884,897"
07/18/2024,"104.22","105.52","103.44","104.02","3,023,902"
07/17/2024,"102.86","104.80","102.69","104.64","3,567,941"
07/16/2024,"100.87","103.69","100.87","103.31","3,609,174"
07/15/2024,"104.90","105.00","102.57","102.72","3,316,717"
07/12/2024,"103.79","105.30","103.69","104.04","3,381,190"
07/11/2024,"102.38","104.27","101.80","103.23","4,581,327"
07/10/2024,"99.81","101.83","98.26","101.67","4,519,547"
07/09/2024,"100.85","101.46","99.47","99.69","2,809,735"
07/08/2024,"101.51","102.74","100.62","101.10","2,338,695"
07/05/2024,"101.40","101.66","100.64","101.32","3,059,577"
07/03/2024,"101.29","102.15","100.68","101.62","1,230,776"
07/02/2024,"100.56","101.93","100.46","101.62","2,291,274"
07/01/2024,"102.86","103.45","100.21","100.61","2,705,605"
06/28/2024,"103.01","103.97","101.66","102.19","6,196,466"
06/27/2024,"101.96","104.04","101.64","103.17","4,338,345"
06/26/2024,"101.62","101.80","100.57","101.45","2,356,088"
06/25/2024,"102.88","103.18","101.29","102.05","5,164,160"
06/24/2024,"102.18","103.50","101.68","102.99","2,947,967"
06/21/2024,"101.93","102.44","100.95","102.39","7,866,227"
06/20/2024,"100.26","102.34","100.19","101.66","3,476,766"
06/18/2024,"100.07","101.47","100.06","100.77","3,446,167"
06/17/2024,"99.98","101.44","99.92","100.53","3,490,032"
06/14/2024,"100.50","101.42","99.31","100.90","2,685,142"
06/13/2024,"102.02","102.80","100.74","101.54","5,034,653"
06/12/2024,"102.62","103.68","100.76","101.21","3,704,729"
06/11/2024,"100.10","101.47","99.23","101.32","2,831,634"
06/10/2024,"100.43","101.84","100.28","100.66","3,507,587"
06/07/2024,"99.51","101.96","98.40","100.86","5,636,659"
06/06/2024,"98.80","99.55","98.16","98.22","2,509,997"
06/05/2024,"98.82","99.65","97.87","99.06","3,115,445"
06/04/2024,"99.00","99.40","97.68","98.61","4,988,057"
06/03/2024,"100.37","100.79","98.97","99.76","4,508,226"
05/31/2024,"98.06","100.25","97.42","100.14","21,754,439"
05/30/2024,"97.69","98.23","96.89","98.20","4,520,612"
05/29/2024,"97.80","97.90","96.76","97.56","4,826,562"
05/28/2024,"99.56","100.11","97.82","98.68","4,361,056"
05/24/2024,"99.81","100.52","99.34","99.67","2,602,227"
05/23/2024,"100.42","100.52","98.91","99.51","3,845,510"
05/22/2024,"102.64","103.11","100.95","101.49","3,807,843"
05/21/2024,"104.89","105.04","102.65","103.14","4,602,985"
05/20/2024,"105.22","106.04","104.63","105.21","3,962,667"
05/17/2024,"105.21","105.72","104.68","105.26","5,396,497"
05/16/2024,"101.72","105.22","101.59","104.86","8,384,504"
05/15/2024,"100.19","101.67","100.15","101.24","4,203,343"
05/14/2024,"99.93","101.20","99.80","100.08","2,973,067"
05/13/2024,"99.00","101.74","99.00","99.63","5,578,802"
05/10/2024,"98.55","99.66","98.17","98.93","4,157,896"
05/09/2024,"96.09","97.38","95.90","97.33","2,584,177"
05/08/2024,"95.39","96.44","95.01","96.35","3,489,861"
05/07/2024,"96.59","97.18","95.52","95.54","4,408,969"
05/06/2024,"97.09","97.75","96.54","96.59","4,329,454"
05/03/2024,"97.58","98.19","96.84","97.15","4,818,713"
05/02/2024,"97.96","98.40","96.65","96.81","6,317,061"
05/01/2024,"98.10","99.70","97.28","98.44","11,064,300"
